category_id,category_name,product_id,item_name,description,detail_3,standard_cost,item_price,quantity,sku
1,CPU,214,Intel Core i7-5960X,"Speed:3.0GHz,Cores:8,TDP:140W",TDP:140W,865.59,1009.79,124,823883
1,CPU,9,Intel Xeon E5-2640 V4,"Speed:2.4GHz,Cores:10,TDP:90W",TDP:90W,738.71,899.99,50,232266
1,CPU,119,Intel Xeon E5-2640 V3,"Speed:2.6GHz,Cores:8,TDP:90W",TDP:90W,668.24,899.99,25,699342
1,CPU,120,Intel Core 2 Extreme QX9775,"Speed:3.2GHz,Cores:4,TDP:150W",TDP:150W,737.68,892,25,224922
1,CPU,136,AMD Opteron 6378,"Speed:2.4GHz,Cores:16,TDP:115W",TDP:115W,651.92,826.99,28,391123
1,CPU,27,Intel Core i7-3960X Extreme Edition,"Speed:3.3GHz,Cores:6,TDP:130W",TDP:130W,573.41,800.74,6,493483
1,CPU,73,Intel Core i7-4770K,"Speed:3.5GHz,Cores:4,TDP:84W",TDP:84W,714.15,799,39,222731
1,CPU,70,Intel Xeon E5-2687W,"Speed:3.1GHz,Cores:8,TDP:150W",TDP:150W,581.16,710.99,50,893984
1,CPU,74,Intel Xeon E5-2680 V2,"Speed:2.8GHz,Cores:10,TDP:115W",TDP:115W,567.81,701.95,39,404401
1,CPU,198,Intel Core i7-980,"Speed:3.33GHz,Cores:6,TDP:130W",TDP:130W,563.7,699.99,140,157212
1,CPU,69,Intel Core i7-7820X,"Speed:3.6GHz,Cores:8,TDP:140W",TDP:140W,511.1,678.75,50,153012
1,CPU,71,Intel Core i7-3930K,"Speed:3.2GHz,Cores:6,TDP:130W",TDP:130W,509.32,660,50,723488
1,CPU,199,Intel Xeon E5-2630 V4,"Speed:2.2GHz,Cores:10,TDP:85W",TDP:85W,528.95,647.99,141,515866
1,CPU,76,Intel Xeon E5-2630 V3,"Speed:2.4GHz,Cores:8,TDP:85W",TDP:85W,499.96,629.99,40,986308
1,CPU,200,Intel Core i7-4790K,"Speed:4.0GHz,Cores:4,TDP:88W",TDP:88W,461.92,620.95,141,845207
1,CPU,106,Intel Xeon E5-2640 V2,"Speed:2.0GHz,Cores:8,TDP:95W",TDP:95W,545.19,608.95,21,689319
2,Video Card,133,PNY VCQP6000-PB,"Chipset:Quadro P6000,Memory:24GBCore Clock:1.42GHz",,4058.99,5499.99,28,934831
2,Video Card,207,PNY VCQM6000-PB,"Chipset:Quadro M6000,Memory:12GBCore Clock:988MHz",,2505.04,3254.99,121,921344
2,Video Card,110,ATI FirePro W9000,"Chipset:FirePro W9000,Memory:6GBCore Clock:975MHz",,2785.55,3192.97,22,390325
2,Video Card,123,ATI FirePro S9150,"Chipset:FirePro S9150,Memory:16GBCore Clock:900MHz",,2628.06,3177.44,26,463336
2,Video Card,142,AMD FirePro W9100,"Chipset:FirePro W9100,Memory:16GBCore Clock:930MHz",,2483.38,2998.89,34,829794
2,Video Card,105,EVGA 12G-P4-3992-KR,"Chipset:GeForce GTX Titan Z,Memory:12GBCore Clock:732MHz",,2313.07,2799.99,20,106897
2,Video Card,4,AMD 100-505989,"Chipset:FirePro W9100,Memory:32GBCore Clock:930MHz",,2128.67,2699.99,49,506353
2,Video Card,5,PNY VCQK6000-PB,"Chipset:Quadro K6000,Memory:12GBCore Clock:902MHz",,1740.31,2290.79,49,337274
2,Video Card,11,PNY VCQP5000-PB,"Chipset:Quadro P5000,Memory:16GBCore Clock:1.61GHz",,1602.21,2015.11,51,663870
2,Video Card,245,ATI FirePro S9050,"Chipset:FirePro S9050,Memory:12GBCore Clock:900MHz",,1237.04,1699,137,707752
2,Video Card,161,AMD 100-5056062,"Chipset:Vega Frontier Edition Liquid,Memory:16GBCore Clock:1.5GHz",,1343.84,1499.99,48,699405
2,Video Card,184,AMD 100-506061,"Chipset:Vega Frontier Edition,Memory:16GBCore Clock:1.44GHz",,706.99,999.99,128,426320
2,Video Card,182,PNY VCQK4200-PB,"Chipset:Quadro K4200,Memory:4GBCore Clock:771MHz",,799.05,949.89,128,674316
2,Video Card,185,MSI GTX 1080 TI LIGHTNING Z,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.61GHz",,688.35,873.98,129,936196
2,Video Card,281,Asus ROG-POSEIDON-GTX1080TI-P11G-GAMING,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.62GHz",,696.14,864.98,179,525761
2,Video Card,216,MSI GTX 1080 TI LIGHTNING X,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",,742.94,863.98,125,627359
2,Video Card,6,Zotac ZT-P10810A-10P,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.48GHz",,702.35,849.99,50,122585
2,Video Card,108,MSI GAMING,"Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:1.02GHz",,753.18,849.99,21,526169
2,Video Card,12,Gigabyte GV-N108TAORUSX W-11GD,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.63GHz",,596.05,824.98,51,786573
2,Video Card,114,Zotac ZT-70203-10P,"Chipset:GeForce GTX 780,Memory:3GBCore Clock:1.01GHz",,580.42,820.61,23,721954
2,Video Card,103,EVGA 11G-P4-6598-KR,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.56GHz",,663.54,809.99,20,528486
2,Video Card,3,Corsair CB-9060011-WW,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",,573.51,799.99,49,178598
2,Video Card,174,MSI GTX 1080 TI AERO 11G OC,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.51GHz",,715.72,798.26,86,110350
2,Video Card,175,NVIDIA VCQM4000-PB,"Chipset:Quadro M4000,Memory:8GBCore Clock:N/A",,682.09,790,86,890032
2,Video Card,270,Gigabyte GV-N1070WF2OC-8GD,"Chipset:GeForce GTX 1070,Memory:8GBCore Clock:1.56GHz",,551.62,769.99,196,871741
2,Video Card,223,MSI GeForce GTX 1080 TI ARMOR 11G OC,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.48GHz",,644.19,764.98,151,924867
2,Video Card,90,EVGA 11G-P4-6696-KR,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.56GHz",,594.46,759.99,13,996460
2,Video Card,220,MSI GeForce GTX 1080 Ti GAMING X 11G,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",,666.59,759.99,149,622536
2,Video Card,221,Zotac ZT-P10810C-10P,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.65GHz",,535.03,759.99,150,586768
2,Video Card,269,Zotac ZT-P10810D-10P,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",,580.1,759.99,196,330094
2,Video Card,87,PNY VCGGTX1080T11XGPB-OC,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.53GHz",,600.92,759.99,47,443374
2,Video Card,222,Zotac ZT-P10810G-10P,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.51GHz",,598.25,754.98,150,373760
2,Video Card,88,Gigabyte GV-N98TWF3OC-6GD,"Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.06GHz",,633.29,749.99,12,227309
2,Video Card,89,PNY VCGGTX780T3XPB-OC,"Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:980MHz",,592.12,749.99,12,683148
2,Video Card,236,MSI GTX 980 Ti Gaming 6G,"Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.18GHz",,539.98,745.32,214,887259
2,Video Card,237,Gigabyte GV-N108TAORUS-11GD,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.59GHz",,605.3,744.98,214,497519
2,Video Card,238,EVGA 06G-P4-4998-KR,"Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.19GHz",,521.03,741.78,214,191162
2,Video Card,239,MSI GTX 1080 Ti DUKE 11G OC,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.53GHz",,555.07,739.99,214,949049
4,Mother Board,190,Supermicro X10SDV-8C-TLN4F,"CPU:Xeon D-1541,Form Factor:Mini ITX,RAM Slots:4,Max RAM:64GB",RAM Slots:4,664.29,948.99,137,684481
4,Mother Board,62,Intel DP35DPM,"CPU:LGA775,Form Factor:ATX,RAM Slots:4,Max RAM:8GB",RAM Slots:4,626.22,789.79,47,554979
4,Mother Board,189,Asus X99-E-10G WS,"CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB",RAM Slots:8,582.02,649,137,850553
4,Mother Board,191,Asus ROG MAXIMUS IX EXTREME,"CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB",RAM Slots:4,480.89,573.99,138,754136
4,Mother Board,63,Asus RAMPAGE V EXTREME,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:64GB",RAM Slots:8,459,572.96,47,737784
4,Mother Board,193,Asus Z10PE-D8 WS,"CPU:LGA2011-3 x 2,Form Factor:SSI EEB,RAM Slots:8,Max RAM:512GB",RAM Slots:8,504.14,561.59,138,740856
4,Mother Board,271,MSI X99A GODLIKE GAMING CARBON,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",RAM Slots:8,415,549.59,183,740841
4,Mother Board,274,ASRock E3C224D4M-16RE,"CPU:LGA1150,Form Factor:ATX,RAM Slots:4,Max RAM:32GB",RAM Slots:4,364.79,499.99,160,847857
4,Mother Board,188,Asus X99-E WS/USB 3.1,"CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB",RAM Slots:8,428.89,482.49,137,407662
4,Mother Board,137,Asus Z10PE-D16 WS,"CPU:LGA2011-3 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:1TB",RAM Slots:16,332.52,469.99,29,239596
4,Mother Board,32,ASRock X99 Extreme11,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",RAM Slots:8,380.55,469.99,8,463472
4,Mother Board,31,Supermicro MBD-X10DAX,"CPU:LGA2011-3 x 2,Form Factor:EATX,RAM Slots:16,Max RAM:",RAM Slots:16,385.24,443.72,8,574041
4,Mother Board,84,Asus X99-DELUXE/U3.1,"CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:64GB",RAM Slots:8,332.38,440.3,45,505940
4,Mother Board,141,Supermicro X11SSL-CF,"CPU:LGA1151,Form Factor:Micro ATX,RAM Slots:4,Max RAM:64GB",RAM Slots:4,317.81,419.99,33,825848
4,Mother Board,34,Asus KGPE-D16,"CPU:G34 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:256GB",RAM Slots:16,360.72,417.98,9,633201
4,Mother Board,217,ASRock C2750D4I,"CPU:Atom C2750,Form Factor:Mini ITX,RAM Slots:4,Max RAM:64GB",RAM Slots:4,339.55,401.98,125,396796
4,Mother Board,157,Asus MAXIMUS IX FORMULA,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",RAM Slots:4,339.12,388.99,42,215352
4,Mother Board,170,Asus X99-DELUXE II,"CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",RAM Slots:8,289.33,383.98,81,255179
4,Mother Board,172,ASRock EP2C612 WS,"CPU:LGA2011-3 x 2,Form Factor:SSI EEB,RAM Slots:8,Max RAM:",RAM Slots:8,308.84,358.49,85,594912
4,Mother Board,173,ASRock Z270 SuperCarrier,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",RAM Slots:4,264.35,353.98,94,461546
4,Mother Board,247,Asus TUF X299 MARK 1,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",RAM Slots:8,241.15,339.99,148,720299
4,Mother Board,251,MSI X299 GAMING PRO CARBON AC,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",RAM Slots:8,238.8,337.81,150,654938
4,Mother Board,287,MSI X99A XPOWER GAMING TITANIUM,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",RAM Slots:8,257.23,329.99,212,608374
4,Mother Board,288,Asus ROG STRIX X99 GAMING,"CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",RAM Slots:8,255.86,319.99,213,671226
4,Mother Board,227,Gigabyte GA-X99-UD5 WIFI,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:64GB",RAM Slots:8,217.83,305,189,600097
4,Mother Board,39,ASRock EP2C602-4L/D16,"CPU:LGA2011 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:512GB",RAM Slots:16,225.47,301.99,43,648126
4,Mother Board,40,MSI Z170A KRAIT GAMING 3X,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",RAM Slots:4,245.4,299.89,44,530328
4,Mother Board,41,MSI Z170 Krait Gaming,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",RAM Slots:4,231.58,299.89,44,304591
4,Mother Board,42,MSI Z170A KRAIT GAMING,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",RAM Slots:4,262.4,299.89,46,116249
4,Mother Board,43,Asus MAXIMUS IX CODE,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",RAM Slots:4,266.15,298.98,46,506874
4,Mother Board,134,Asus Sabertooth 990FX,"CPU:AM3+,Form Factor:ATX,RAM Slots:4,Max RAM:32GB",RAM Slots:4,252.31,295.72,54,169945
4,Mother Board,140,MSI X99A WORKSTATION,"CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",RAM Slots:8,239.95,289.97,9,653234
4,Mother Board,144,Intel DG43RK,"CPU:LGA775,Form Factor:Micro ATX,RAM Slots:4,Max RAM:8GB",RAM Slots:4,219.69,289.79,10,672542
4,Mother Board,145,Asus VANGUARD B85,"CPU:LGA1150,Form Factor:Micro ATX,RAM Slots:4,Max RAM:32GB",RAM Slots:4,258.1,287,11,676711
4,Mother Board,146,EVGA Z270 Classified K,"CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB",RAM Slots:4,234.26,283.98,11,918323
4,Mother Board,147,EVGA Classified,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",RAM Slots:8,240.62,283.98,11,586373
4,Mother Board,148,MSI Z270 XPOWER GAMING TITANIUM,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",RAM Slots:4,212.69,282.98,12,347022
4,Mother Board,149,ASRock X299 Taichi,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",RAM Slots:8,214.36,282.98,12,256745
4,Mother Board,150,MSI X299 TOMAHAWK ARCTIC,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",RAM Slots:8,223.92,281.98,15,855089
4,Mother Board,151,Supermicro X10SAT-O,"CPU:LGA1150,Form Factor:ATX,RAM Slots:4,Max RAM:32GB",RAM Slots:4,207.08,281.97,15,771467
4,Mother Board,152,Gigabyte X299 AORUS Gaming 3,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",RAM Slots:8,227.48,280.98,15,170377
5,Storage,56,Western Digital WD2500AAJS,"Series:Caviar Blue,Type:7200RPM,Capacity:250GB,Cache:8MB",Capacity:250GB,15.23,16.99,58,262748
5,Storage,57,Western Digital WD20EZRZ,"Series:Blue,Type:5400RPM,Capacity:2TB,Cache:64MB",Capacity:2TB,58.01,67.34,66,218681
5,Storage,95,Western Digital WDS256G1X0C,"Series:Black PCIe,Type:SSD,Capacity:256GB,Cache:N/A",Capacity:256GB,85.87,109.99,60,659225
5,Storage,96,SanDisk SDSSDHII-480G-G25,"Series:Ultra II,Type:SSD,Capacity:480GB,Cache:N/A",Capacity:480GB,102.62,141.56,60,394839
5,Storage,261,G.Skill TridentZ RGB,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",CAS:14Module:8x16GBSize:128GB,1330.26,1504.99,226,208690
5,Storage,262,Corsair Dominator Platinum,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:16Module:8x16GBSize:128GB",CAS:16Module:8x16GBSize:128GB,1051.97,1449.99,227,429315
5,Storage,265,G.Skill Trident Z,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",CAS:14Module:8x16GBSize:128GB,1163.49,1431.99,227,454641
5,Storage,279,G.Skill Ripjaws V Series,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",CAS:14Module:8x16GBSize:128GB,1139.87,1318.99,244,459084
5,Storage,35,Corsair Dominator Platinum,"Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",CAS:15Module:8x16GBSize:128GB,1131.68,1314.99,42,439223
5,Storage,36,Corsair Vengeance LPX,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",CAS:15Module:8x16GBSize:128GB,912.98,1299.99,43,800961
5,Storage,37,Corsair Dominator Platinum,"Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",CAS:15Module:8x16GBSize:128GB,1068.66,1264.99,43,301204
5,Storage,38,Corsair Vengeance LPX,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",CAS:15Module:8x16GBSize:128GB,1019.51,1199.99,43,859404
5,Storage,276,Corsair Vengeance LPX,"Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",CAS:15Module:8x16GBSize:128GB,867.52,1163.99,187,331760
5,Storage,196,Corsair Vengeance LPX,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",CAS:15Module:8x16GBSize:128GB,821.91,1099.99,139,482955
5,Storage,272,G.Skill Ripjaws 4 Series,"Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",CAS:15Module:8x16GBSize:128GB,834.06,1073.99,184,153637
5,Storage,195,G.Skill Ripjaws 4 Series,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",CAS:14Module:8x16GBSize:128GB,836.03,1055.99,139,497457
5,Storage,67,Kingston HyperX Beast,"Speed:DDR3-1866,Type:240-pin DIMM,CAS:10Module:8x8GBSize:64GB",CAS:10Module:8x8GBSize:64GB,708.91,863.05,49,482906
5,Storage,18,Crucial,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:17Module:1x64GBSize:64GB",CAS:17Module:1x64GBSize:64GB,604.04,799,54,244722
5,Storage,125,G.Skill Trident Z,"Speed:DDR4-3600,Type:288-pin DIMM,CAS:17Module:4x16GBSize:64GB",CAS:17Module:4x16GBSize:64GB,594.04,768.99,26,803768
5,Storage,68,Crucial,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",CAS:15Module:4x16GBSize:64GB,590.13,766.11,49,848743
5,Storage,283,G.Skill Trident Z,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB",CAS:14Module:8x8GBSize:64GB,647.83,760.99,194,654694
5,Storage,277,G.Skill Trident Z,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB",CAS:14Module:8x8GBSize:64GB,556.8,758.99,187,842832
5,Storage,21,Corsair Dominator Platinum,"Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",CAS:16Module:4x16GBSize:64GB,609.89,749.99,5,344041
5,Storage,128,Kingston,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",CAS:15Module:4x16GBSize:64GB,650.48,741.63,27,115303
5,Storage,129,Corsair Vengeance LPX,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",CAS:15Module:4x16GBSize:64GB,609.53,734.99,27,818009
5,Storage,116,G.Skill Trident Z,"Speed:DDR4-3400,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",CAS:16Module:4x16GBSize:64GB,565.39,731.99,24,869257
5,Storage,15,G.Skill Trident Z,"Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",CAS:16Module:4x16GBSize:64GB,601.56,725.99,52,434990
5,Storage,122,G.Skill Trident Z,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",CAS:16Module:4x16GBSize:64GB,532.27,722.99,26,750538
5,Storage,121,G.Skill Ripjaws V Series,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB",CAS:14Module:8x8GBSize:64GB,603.22,721.99,25,822376
5,Storage,20,Corsair Dominator Platinum,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",CAS:15Module:4x16GBSize:64GB,616.53,719.99,5,309429
5,Storage,109,G.Skill Trident Z,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",CAS:14Module:4x16GBSize:64GB,585.26,713.99,21,992668
5,Storage,13,G.Skill Ripjaws V Series,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",CAS:16Module:4x16GBSize:64GB,618.63,704.99,51,630535
5,Storage,14,G.Skill Ripjaws V Series,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",CAS:16Module:4x16GBSize:64GB,633.65,704.99,51,654169
5,Storage,115,Corsair Vengeance LPX,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",CAS:15Module:8x8GBSize:64GB,565.73,699.99,24,218241
5,Storage,17,Corsair Vengeance LPX,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",CAS:15Module:4x16GBSize:64GB,595.42,699.01,54,942021
5,Storage,117,G.Skill Ripjaws V Series,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",CAS:14Module:4x16GBSize:64GB,617.62,695.99,24,530608
5,Storage,78,G.Skill Ripjaws V Series,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",CAS:15Module:4x16GBSize:64GB,517.78,686.99,41,779138
5,Storage,204,G.Skill Ripjaws V Series,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",CAS:15Module:4x16GBSize:64GB,546.64,686.99,142,369552
5,Storage,7,G.Skill Ripjaws V Series,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",CAS:15Module:8x8GBSize:64GB,602.4,680.99,50,239488
5,Storage,278,G.Skill Ripjaws V Series,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB",CAS:14Module:8x8GBSize:64GB,546.05,677.99,188,827884
5,Storage,203,Kingston,"Speed:DDR3-1333,Type:240-pin DIMM,CAS:9Module:4x16GBSize:64GB",CAS:9Module:4x16GBSize:64GB,556.84,671.38,142,384752
5,Storage,79,Corsair Dominator Platinum,"Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",CAS:15Module:8x8GBSize:64GB,537.63,659.99,41,255389
5,Storage,201,Kingston,"Speed:DDR3-1600,Type:240-pin DIMM,CAS:11Module:4x8GBSize:32GB",CAS:11Module:4x8GBSize:32GB,566.98,653.5,142,973132
5,Storage,205,G.Skill Trident X,"Speed:DDR3-3100,Type:240-pin DIMM,CAS:12Module:2x4GBSize:8GB",CAS:12Module:2x4GBSize:8GB,507.32,649.99,142,238284
5,Storage,29,Corsair Vengeance LPX,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",CAS:15Module:4x16GBSize:64GB,571.7,645.99,7,891991
